lobe,region,mass
ll,c,180.87729418490056
ll,p,291.05864176348285
lu,c,39.93873685709181
lu,p,353.7400601215195
rl,c,142.7908502128503
rl,p,224.6927833161962
rm,c,85.41920498504912
rm,p,226.4485730148311
ru,c,58.14089167545828
ru,p,234.15752105207207
mt,,1715.369182163737
tb,,1047.133078982141
