lobe,region,mass
ll,c,94.30298437687111
ll,p,113.20540289714197
lu,c,53.766265619869245
lu,p,156.38248473876737
rl,c,101.05131156912425
rl,p,74.59991308370755
rm,c,43.50990494386624
rm,p,156.74838046172147
ru,c,35.98657164363313
ru,p,107.2064928639821
mt,,984.4042965004671
tb,,567.5231763750671
