lobe,region,mass
ll,c,153.68816689469244
ll,p,191.30598003989164
lu,c,53.049912700766
lu,p,136.05742936791543
rl,c,201.99782205822757
rl,p,124.45532374634159
rm,c,108.3870484071648
rm,p,290.39105480160686
ru,c,113.29169170643655
ru,p,302.55939085744353
mt,,3434.4016285132575
tb,,419.35733378452704
