lobe,region,mass
ll,c,210.9776297506828
ll,p,88.35003034830098
lu,c,151.81767298592567
lu,p,111.90834943427062
rl,c,114.51063330797959
rl,p,49.34767311551726
rm,c,159.8352906614992
rm,p,76.03786616429149
ru,c,77.12261195572401
ru,p,85.61293985374064
mt,,779.1536639097811
tb,,399.66252739617175
