,0
0,17.61
1,17.77
2,18.01
3,18.21
4,18.31
5,18.37
6,18.53
7,18.64
8,18.83
9,19.02
10,19.49
11,19.6
12,19.66
13,19.77
14,19.96
15,20.11
16,20.22
17,20.3
18,20.47
19,20.61
20,20.76
21,20.83
22,20.84
23,21.21
24,21.43
25,21.6
26,21.95
27,22.23
28,22.26
29,22.32
30,22.42
31,22.68
32,22.77
33,22.41
34,21.55
35,20.43
36,19.79
37,19.52
38,19.43
39,19.51
40,19.63
41,19.81
42,19.72
43,19.62
44,19.3
45,18.95
46,18.81
47,18.55
48,18.61
49,18.5
50,18.5
51,18.44
52,18.53
53,18.36
54,18.3
55,18.12
56,18.11
57,17.92
58,17.92
59,17.89
60,17.93
61,17.98
62,18.03
63,18.17
64,18.17
65,17.95
66,17.82
67,17.8
68,17.73
69,17.6
70,17.49
71,17.25
72,17.23
73,17.11
74,17.05
75,17.0
76,17.04
77,16.86
78,16.66
79,16.54
80,16.48
81,16.41
82,16.36
83,16.43
84,16.41
85,16.25
86,16.19
87,16.1
88,16.01
89,15.91
90,15.93
91,15.88
92,15.93
93,15.93
94,15.85
95,15.86
96,15.8
97,15.86
98,15.8
99,15.75
100,15.78
101,15.76
102,15.83
103,15.79
104,15.88
105,16.11
106,16.29
107,16.24
108,16.08
109,15.9
110,15.66
111,15.73
112,15.72
113,15.82
114,15.91
115,15.8
116,15.65
117,15.52
118,15.44
119,15.35
120,15.17
121,15.13
122,15.04
123,14.83
124,14.76
125,14.56
126,14.42
127,14.13
128,13.93
129,13.67
130,13.46
131,13.29
132,13.1
133,12.92
134,12.78
135,12.52
136,12.28
137,12.13
138,11.93
139,11.74
140,11.57
141,11.37
142,11.19
143,10.99
144,10.83
145,10.68
146,10.51
147,10.4
148,10.28
149,10.16
150,10.05
151,9.95
152,9.75
153,9.6
154,9.51
155,9.39
156,9.3
157,9.2
158,9.06
159,8.94
160,8.83
161,8.74
162,8.66
163,8.61
164,8.54
165,8.44
166,8.37
167,8.28
168,8.18
169,8.1
170,8.0
171,7.93
172,7.87
173,7.82
174,7.78
175,7.74
176,7.7
177,7.65
178,7.62
179,7.59
180,7.57
181,7.54
182,7.53
183,7.52
184,7.52
185,7.5
186,7.5
187,7.49
188,7.5
189,7.49
190,7.51
191,7.51
192,7.52
193,7.51
194,7.49
195,7.49
196,7.5
197,7.51
198,7.52
199,7.53
200,7.53
201,7.55
202,7.59
203,7.63
204,7.64
205,7.65
206,7.66
207,7.68
208,7.72
209,7.76
210,7.78
211,7.82
212,7.87
213,7.93
214,7.97
215,8.0
216,8.05
217,8.1
218,8.16
219,8.22
220,8.27
221,8.33
222,8.39
223,8.44
224,8.49
225,8.59
226,8.65
227,8.71
228,8.76
229,8.82
230,8.93
231,8.97
232,9.01
233,9.06
234,8.93
235,8.05
236,6.61
237,5.13
238,3.68
239,2.22
240,0.88
241,0.32
242,0.26
243,0.26
244,0.27
245,0.39
246,0.56
247,0.85
248,1.41
249,2.72
250,4.5
251,6.13
252,7.43
253,8.54
254,9.17
255,9.47
256,9.73
257,10.06
258,10.29
259,10.42
260,10.58
261,10.72
262,10.84
263,11.1
264,11.31
265,11.53
266,11.7
267,12.04
268,12.31
269,12.54
270,12.91
271,13.45
272,14.05
273,14.55
274,14.87
275,15.3
276,15.82
277,16.27
278,16.76
279,17.08
280,17.38
281,17.66
282,17.98
283,18.35
284,18.83
285,19.31
286,19.76
287,20.25
288,20.62
289,21.06
290,21.41
291,21.78
292,22.44
293,22.99
294,23.63
295,24.22
296,24.83
297,25.42
298,26.13
299,26.73
300,27.55
301,28.18
302,28.71
303,29.16
304,29.89
305,30.26
306,30.98
307,31.54
308,31.97
309,32.53
310,32.97
311,33.32
312,33.7
313,34.09
314,34.32
315,34.6
316,35.11
317,35.47
318,35.64
319,35.92
320,36.05
321,36.0
322,35.63
323,34.78
324,34.0
325,33.56
326,33.06
327,32.35
328,31.72
329,30.93
330,30.63
331,30.16
332,29.36
333,28.87
334,28.51
335,27.86
336,27.53
337,27.11
338,26.62
339,26.06
340,25.68
341,25.2
342,24.99
343,24.49
344,24.14
345,23.74
346,23.27
347,22.94
348,22.76
349,22.35
350,22.03
351,21.66
352,21.32
353,20.96
354,20.65
355,20.44
356,20.13
357,19.9
358,19.62
359,19.33
360,19.14
361,18.73
362,18.52
363,18.32
364,18.0
365,17.77
366,17.45
367,17.21
368,17.07
369,16.83
370,16.56
371,16.23
372,16.05
373,15.76
374,15.64
375,15.38
376,15.26
377,15.01
378,14.8
379,14.58
380,14.39
381,14.24
382,14.06
383,13.81
384,13.63
385,13.34
386,13.2
387,12.97
388,12.82
389,12.57
390,12.44
391,12.26
392,12.02
393,11.86
394,11.68
395,11.48
396,11.29
397,11.17
398,10.94
399,10.76
400,10.64
401,10.5
402,10.34
403,10.15
404,10.02
405,9.89
406,9.73
407,9.62
408,9.47
409,9.28
410,9.17
411,9.01
412,8.91
413,8.83
414,8.69
415,8.55
416,8.42
417,8.29
418,8.18
419,8.07
420,7.95
421,7.74
422,7.17
423,6.07
424,4.92
425,3.82
426,2.82
427,1.93
428,1.21
429,0.62
430,0.26
431,0.15
432,0.12
433,0.1
434,0.09
435,0.09
436,0.09
437,0.09
438,0.1
439,0.15
440,0.24
441,0.35
442,0.49
443,0.65
444,0.81
445,1.05
446,1.35
447,1.74
448,2.13
449,2.53
450,2.88
451,3.23
452,3.61
453,3.98
454,4.4
455,4.84
456,5.21
457,5.57
458,5.86
459,6.14
460,6.42
461,6.67
462,6.89
463,7.11
464,7.31
465,7.52
466,7.69
467,7.86
468,8.08
469,8.3
470,8.43
471,8.61
472,8.83
473,9.01
474,9.15
475,9.3
476,9.48
477,9.68
478,9.84
479,10.08
480,10.3
481,10.48
482,10.72
483,10.88
484,11.11
485,11.38
486,11.49
487,11.64
488,11.98
489,12.19
490,12.41
491,12.67
492,12.9
493,13.09
494,13.28
495,13.47
496,13.63
497,13.9
498,14.12
499,14.26
500,14.41
501,14.63
502,14.85
503,15.06
504,15.25
505,15.46
506,15.66
507,15.81
508,16.01
509,16.2
510,16.37
511,16.62
512,16.79
513,16.98
514,17.16
515,17.34
516,17.46
517,17.66
518,17.91
519,18.1
520,18.23
521,18.42
522,18.69
523,18.86
524,18.89
525,19.03
526,19.29
527,19.43
528,19.63
529,19.6
530,19.61
531,19.89
532,20.26
533,20.44
534,20.49
535,20.57
536,20.71
537,20.93
538,21.03
539,21.05
540,21.16
541,21.21
542,21.15
543,20.5
544,19.8
545,19.37
546,19.14
547,19.19
548,19.26
549,19.38
550,19.41
551,19.32
552,19.17
553,19.1
554,19.08
555,19.12
556,19.2
557,19.39
558,19.28
559,19.03
560,18.98
561,18.97
562,18.88
563,18.74
564,18.6
565,18.33
566,18.18
567,18.13
568,18.08
569,18.05
570,18.11
571,18.0
572,17.84
573,17.68
574,17.58
575,17.52
576,17.52
577,17.44
578,17.35
579,17.19
580,17.09
581,17.1
582,16.86
583,16.73
584,16.72
585,16.67
586,16.5
587,16.39
588,16.24
589,16.07
590,15.96
591,15.71
592,15.54
593,15.36
594,15.22
595,15.04
596,14.92
597,14.84
598,14.67
599,14.51
600,14.45
601,14.33
602,14.23
603,14.23
604,14.23
605,14.0
606,13.73
607,13.51
608,13.22
609,13.14
610,13.15
611,13.03
612,12.88
613,12.73
614,12.52
615,12.3
616,12.1
617,11.95
618,11.84
619,11.66
620,11.5
621,11.27
622,11.09
623,11.0
624,10.91
625,10.78
626,10.62
627,10.43
628,10.3
629,10.2
630,10.11
631,9.97
632,9.83
633,9.68
634,9.52
635,9.44
636,9.34
637,9.24
638,9.1
639,9.03
640,8.95
641,8.85
642,8.79
643,8.68
644,8.59
645,8.51
646,8.43
647,8.37
648,8.31
649,8.26
650,8.21
651,8.15
652,8.12
653,8.09
654,8.06
655,8.04
656,8.01
657,7.98
658,7.95
659,7.92
660,7.91
661,7.89
662,7.91
663,7.94
664,7.95
665,7.96
666,7.99
667,8.02
668,8.05
669,8.09
670,8.18
671,8.24
672,8.3
673,8.35
674,8.49
675,8.6
676,8.71
677,8.79
678,8.94
679,9.11
680,9.29
681,9.37
682,9.33
683,9.3
684,9.3
685,9.28
686,9.31
687,9.41
688,9.5
689,9.54
690,9.56
691,9.58
692,9.63
693,9.64
694,9.63
695,9.75
696,9.85
697,9.93
698,9.97
699,9.98
700,10.03
701,10.1
702,10.18
703,10.28
704,10.33
705,10.41
706,10.45
707,10.49
708,10.54
709,10.59
710,10.62
711,10.59
712,10.59
713,10.59
714,10.62
715,10.64
716,10.67
717,10.67
718,10.69
719,10.69
720,10.73
721,10.74
722,10.75
723,10.78
724,10.81
725,10.83
726,10.87
727,10.85
728,10.9
729,10.9
730,10.93
731,10.9
732,10.9
733,10.93
734,10.91
735,10.91
736,10.94
737,10.97
738,10.99
739,11.09
740,11.2
741,11.34
742,11.42
743,10.91
744,9.86
745,8.64
746,7.53
747,6.43
748,5.27
749,3.92
750,2.47
751,1.2
752,0.44
753,0.56
754,0.66
755,0.54
756,0.58
757,1.23
758,2.13
759,3.36
760,4.74
761,6.49
762,8.12
763,9.37
764,10.14
765,10.76
766,11.35
767,11.76
768,11.93
769,12.06
770,12.16
771,12.25
772,12.41
773,12.43
774,12.35
775,12.31
776,12.44
777,12.49
778,12.64
779,13.0
780,13.58
781,14.19
782,14.34
783,15.1
784,15.9
785,16.74
786,17.55
787,18.37
788,19.23
789,20.08
790,20.92
791,21.79
792,22.66
793,23.48
794,24.11
795,24.88
796,25.52
797,26.11
798,26.74
799,27.44
800,28.09
801,28.68
802,29.26
803,30.0
804,30.51
805,31.21
806,31.71
807,32.47
808,33.14
809,33.76
810,34.11
811,34.41
812,34.94
813,35.49
814,35.76
815,36.22
816,36.53
817,37.41
818,37.8
819,37.8
820,38.23
821,38.33
822,38.96
823,38.92
824,39.03
825,39.34
826,39.81
827,40.02
828,40.14
829,40.28
830,39.69
831,38.92
832,38.22
833,37.41
834,36.82
835,36.22
836,35.52
837,35.15
838,34.16
839,33.49
840,32.78
841,32.43
842,31.87
843,31.34
844,30.87
845,30.08
846,29.61
847,29.18
848,28.51
849,27.96
850,27.62
851,27.2
852,26.9
853,26.33
854,26.02
855,25.55
856,25.13
857,24.83
858,24.46
859,23.95
860,23.58
861,23.22
862,22.95
863,22.56
864,22.18
865,21.88
866,21.57
867,21.27
868,20.92
869,20.56
870,20.27
871,19.98
872,19.78
873,19.49
874,19.21
875,18.86
876,18.57
877,18.38
878,18.18
879,17.87
880,17.58
881,17.46
882,17.18
883,16.92
884,16.73
885,16.5
886,16.25
887,15.97
888,15.65
889,15.5
890,15.22
891,15.07
892,14.88
893,14.67
894,14.43
895,14.26
896,14.06
897,13.79
898,13.63
899,13.41
900,13.26
901,13.08
902,12.84
903,12.68
904,12.48
905,12.31
906,12.17
907,12.0
908,11.84
909,11.68
910,11.44
911,11.24
912,11.04
913,10.87
914,10.75
915,10.59
916,10.43
917,10.35
918,10.16
919,10.02
920,9.87
921,9.75
922,9.62
923,9.45
924,9.3
