,0
0,0.1
1,0.1
2,0.09
3,0.09
4,0.09
5,0.09
6,0.08
7,0.08
8,0.08
9,0.08
10,0.09
11,0.08
12,0.08
13,0.08
14,0.08
15,0.09
16,0.09
17,0.09
18,0.11
19,0.14
20,0.19
21,0.26
22,0.35
23,0.39
24,0.4
25,0.39
26,0.35
27,0.31
28,0.28
29,0.25
30,0.22
31,0.18
32,0.14
33,0.12
34,0.11
35,0.1
36,0.09
37,0.08
38,0.07
39,0.06
40,0.06
41,0.06
42,0.05
43,0.05
44,0.05
45,0.05
46,0.04
47,0.04
48,0.04
49,0.04
50,0.04
51,0.05
52,0.05
53,0.05
54,0.05
55,0.05
56,0.05
57,0.05
58,0.04
59,0.04
60,0.04
61,0.03
62,0.03
63,0.03
64,0.04
65,0.04
66,0.05
67,0.06
68,0.07
69,0.08
70,0.11
71,0.11
72,0.12
73,0.14
74,0.16
75,0.18
76,0.23
77,0.36
78,0.5
79,0.58
80,0.61
81,0.63
82,0.66
83,0.9
84,1.41
85,1.9
86,2.14
87,2.05
88,1.96
89,2.24
90,2.63
91,2.9
92,3.15
93,3.33
94,3.38
95,3.26
96,3.1
97,3.03
98,3.06
99,3.04
100,3.02
101,3.01
102,3.02
103,3.02
104,3.01
105,2.95
106,2.94
107,2.93
108,2.85
109,2.84
110,2.91
111,2.95
112,2.96
113,2.96
114,2.91
115,2.85
116,2.77
117,2.71
118,2.63
119,2.6
120,2.63
121,2.62
122,2.55
123,2.48
124,2.44
125,2.34
126,2.2
127,2.04
128,1.87
129,1.78
130,1.8
131,1.82
132,1.82
133,1.81
134,1.81
135,1.85
136,1.89
137,1.91
138,1.88
139,1.8
140,1.77
141,1.76
142,1.74
143,1.71
144,1.68
145,1.65
146,1.62
147,1.59
148,1.57
149,1.54
150,1.5
151,1.46
152,1.44
153,1.44
154,1.42
155,1.39
156,1.37
157,1.39
158,1.39
159,1.35
160,1.32
161,1.29
162,1.28
163,1.27
164,1.25
165,1.22
166,1.21
167,1.23
168,1.24
169,1.24
170,1.2
171,1.17
172,1.16
173,1.11
174,1.05
175,0.98
176,0.92
177,0.9
178,0.87
179,0.85
180,0.82
181,0.79
182,0.74
183,0.71
184,0.72
185,0.73
186,0.7
187,0.69
188,0.69
189,0.69
190,0.65
191,0.62
192,0.6
193,0.56
194,0.51
195,0.48
196,0.44
197,0.36
198,0.27
199,0.3
200,0.3
201,0.33
202,0.34
203,0.34
204,0.37
205,0.47
206,0.47
207,0.5
208,0.5
209,0.41
210,0.36
211,0.28
212,0.24
213,0.23
214,0.23
215,0.21
216,0.22
217,0.22
218,0.25
219,0.24
220,0.24
221,0.26
222,0.25
223,0.24
224,0.24
225,0.21
226,0.2
227,0.2
228,0.19
229,0.18
230,0.17
231,0.17
232,0.16
233,0.15
234,0.14
235,0.14
236,0.13
237,0.14
238,0.13
239,0.12
240,0.12
241,0.13
242,0.13
243,0.13
244,0.12
245,0.11
246,0.11
247,0.1
248,0.1
249,0.1
250,0.09
251,0.09
252,0.1
253,0.1
254,0.09
255,0.09
256,0.08
257,0.09
258,0.09
259,0.08
260,0.08
261,0.08
262,0.08
263,0.08
264,0.08
265,0.08
266,0.07
267,0.07
268,0.07
269,0.07
270,0.07
271,0.06
272,0.06
273,0.06
274,0.06
275,0.06
276,0.06
277,0.06
278,0.06
279,0.05
280,0.06
281,0.06
282,0.06
283,0.05
284,0.05
285,0.05
286,0.06
287,0.05
288,0.05
289,0.05
290,0.05
291,0.04
292,0.04
293,0.04
294,0.04
295,0.04
296,0.04
297,0.04
298,0.05
299,0.04
300,0.05
301,0.04
302,0.04
303,0.04
304,0.04
305,0.04
306,0.04
307,0.03
308,0.04
309,0.03
310,0.03
311,0.04
312,0.03
313,0.03
314,0.03
315,0.03
316,0.03
317,0.03
318,0.03
319,0.03
320,0.03
321,0.03
322,0.03
323,0.03
324,0.02
325,0.03
326,0.02
327,0.02
328,0.02
329,0.02
330,0.03
331,0.03
332,0.02
333,0.02
334,0.02
335,0.02
336,0.02
337,0.02
338,0.02
339,0.03
340,0.02
341,0.02
342,0.02
343,0.02
344,0.02
345,0.02
346,0.02
347,0.01
348,0.02
349,0.02
350,0.02
351,0.01
352,0.01
353,0.01
354,0.01
355,0.01
356,0.01
357,0.01
358,0.01
359,0.01
360,0.01
361,0.01
362,0.01
363,0.01
364,0.01
365,0.01
366,0.01
367,0.01
368,0.01
369,0.01
370,0.01
371,0.01
372,0.01
373,0.0
374,0.0
375,0.01
376,0.01
377,0.01
378,0.0
379,0.0
380,0.01
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
