lobe,part,total_count
ru,c,1
ru,p-tr-1,4
ru,p-tr-2,4
ru,p-quarter,8
rm,c,1
rm,p-tr-1,4
rm,p-tr-2,4
rm,p-quarter,8
rl,c,1
rl,p-tr-1,4
rl,p-tr-2,4
rl,p-quarter,12
lu,c,1
lu,p-tr-1,4
lu,p-tr-2,4
lu,p-quarter,8
ll,c,1
ll,p-tr-1,4
ll,p-tr-2,4
ll,p-quarter,16
