lobe,region,mass
ll,c,456.6419524250849
ll,p,124.0981678192058
lu,c,160.017882179606
lu,p,167.2557092274423
rl,c,256.32767757420214
rl,p,92.91143865402437
rm,c,175.9778760010456
rm,p,75.66716570423706
ru,c,101.39700815094699
ru,p,111.74193816686866
mt,,1524.1213745514603
tb,,381.9797310543951
