,0
0,1.46
1,1.57
2,1.72
3,1.89
4,2.04
5,2.21
6,2.43
7,2.65
8,2.86
9,3.08
10,3.3
11,3.52
12,3.71
13,3.9
14,4.01
15,4.12
16,4.3
17,4.53
18,4.8
19,5.1
20,5.42
21,5.69
22,5.89
23,6.05
24,6.21
25,6.34
26,6.49
27,6.65
28,6.75
29,6.83
30,6.91
31,6.99
32,7.05
33,7.14
34,7.2
35,7.27
36,7.32
37,7.41
38,7.48
39,7.51
40,7.57
41,7.6
42,7.65
43,7.67
44,7.75
45,7.83
46,7.87
47,7.93
48,8.05
49,8.17
50,8.3
51,8.5
52,8.61
53,8.75
54,8.9
55,9.06
56,9.2
57,9.37
58,9.56
59,9.69
60,9.88
61,10.03
62,10.24
63,10.37
64,10.57
65,10.73
66,10.91
67,11.15
68,11.37
69,11.57
70,11.73
71,11.91
72,12.15
73,12.37
74,12.56
75,12.85
76,13.0
77,13.11
78,13.38
79,13.61
80,13.72
81,13.82
82,14.03
83,14.23
84,14.35
85,14.49
86,14.63
87,14.76
88,14.9
89,14.97
90,15.16
91,15.26
92,15.36
93,15.42
94,15.36
95,15.41
96,15.51
97,15.58
98,15.73
99,15.83
100,15.92
101,15.96
102,16.01
103,16.12
104,16.28
105,16.28
106,16.43
107,16.46
108,16.49
109,16.59
110,16.66
111,16.71
112,16.75
113,16.89
114,16.98
115,17.06
116,17.13
117,17.16
118,17.21
119,17.29
120,17.35
121,17.45
122,17.58
123,17.62
124,17.74
125,17.7
126,17.76
127,17.81
128,17.85
129,17.97
130,17.98
131,17.94
132,18.13
133,18.22
134,18.28
135,18.27
136,18.27
137,18.41
138,18.4
139,18.44
140,18.48
141,18.46
142,18.54
143,18.6
144,18.6
145,18.73
146,18.7
147,18.78
148,18.84
149,18.93
150,18.92
151,18.96
152,18.98
153,18.99
154,19.1
155,19.08
156,19.06
157,19.19
158,19.19
159,19.29
160,19.28
161,19.34
162,19.4
163,19.4
164,19.52
165,19.51
166,19.5
167,19.51
168,19.6
169,19.63
170,19.65
171,19.58
172,19.66
173,19.69
174,19.78
175,19.79
176,19.82
177,19.77
178,19.85
179,19.88
180,19.86
181,19.84
182,19.85
183,19.97
184,19.93
185,19.83
186,19.88
187,19.99
188,20.04
189,20.02
190,20.0
191,20.07
192,20.08
193,20.06
194,20.06
195,20.09
196,20.21
197,20.24
198,20.31
