lobe,region,mass
ll,c,291.74191846291666
ll,p,200.64507537548621
lu,c,27.02068112489967
lu,p,225.54749598102268
rl,c,80.83873026655212
rl,p,111.723822785642
rm,c,54.96748631404883
rm,p,112.24893211188804
ru,c,60.708042267243336
ru,p,137.30473216493462
mt,,1333.6409528091224
tb,,929.0082099818566
