,x,y,z,MaximumInscribedSphereRadius,CenterlineIds,TractIds,Blanking,GroupIds
504,75.14258575439453,-68.43406677246094,-237.34317016601562,1.987302380897281,55,12,0,161
505,74.02987670898438,-71.35089111328125,-238.15882873535156,2.0416064684315294,55,12,0,161
506,72.72905731201172,-74.16276550292969,-239.05845642089844,2.066679605717604,55,12,0,161
507,71.40239715576172,-76.89747619628906,-240.12538146972656,2.069303122982708,55,12,0,161
508,70.11642456054688,-79.70814514160156,-241.0529327392578,2.041846281913576,55,12,0,161
509,64.27400970458984,-58.67272186279297,-238.27891540527344,2.376948470544893,56,12,0,162
510,61.41943359375,-60.503475189208984,-238.73350524902344,2.1477939466673632,56,12,0,162
511,58.552886962890625,-62.26968765258789,-239.34161376953125,1.9791123097911423,56,12,0,162
512,55.5352668762207,-63.70431900024414,-240.1136474609375,1.8126660182011958,56,12,0,162
513,52.48454284667969,-65.06178283691406,-240.8952178955078,1.8465494618641973,56,12,0,162
514,49.45674133300781,-66.4207763671875,-241.77012634277344,1.837323745650049,56,12,0,162
515,81.35464477539062,-49.91801834106445,-241.99305725097656,3.2779063741517547,57,8,0,163
516,79.22697448730469,-51.0050163269043,-244.1819610595703,2.9350197940014557,57,8,0,163
517,76.99867248535156,-52.28742218017578,-246.1645965576172,2.8371686462297094,57,8,0,163
518,74.7835693359375,-53.316650390625,-248.2900848388672,2.800603274479232,57,8,0,163
519,72.76579284667969,-54.497802734375,-250.48196411132812,2.74673742787515,57,8,0,163
520,70.71875762939453,-56.4329833984375,-251.12551879882812,2.464162694020987,57,10,0,165
521,68.2200927734375,-58.64298629760742,-251.95797729492188,2.432405219689541,57,10,0,165
522,65.81159973144531,-60.72557830810547,-253.30824279785156,2.4846634770890854,57,10,0,165
523,63.440147399902344,-62.796043395996094,-254.740966796875,2.5044639522247096,57,10,0,165
524,61.12217712402344,-64.93460083007812,-256.1533508300781,2.522859549975273,57,10,0,165
525,58.76618576049805,-67.11743927001953,-257.45233154296875,2.523138302449772,57,10,0,165
526,71.86964416503906,-54.905609130859375,-253.34829711914062,2.67339837337222,58,10,0,166
527,70.5914306640625,-56.279296875,-256.354736328125,2.416319493132364,58,10,0,166
528,70.24813842773438,-56.560916900634766,-259.8759765625,2.34903242749332,58,10,0,166
529,70.136962890625,-56.72303771972656,-263.4242858886719,2.354385699444871,58,10,0,166
530,70.23771667480469,-56.66242218017578,-266.9534912109375,2.396390260826512,58,10,0,166
531,70.12596893310547,-56.78664779663086,-270.4662170410156,2.3420606873630936,58,10,0,166
532,58.46712112426758,-51.786251068115234,-236.90945434570312,2.0426116417167393,59,14,0,167
533,58.905574798583984,-48.54230499267578,-235.75665283203125,1.8583953651656917,59,14,0,167
534,59.75544357299805,-45.428184509277344,-234.3581085205078,1.872202393083741,59,14,0,167
535,60.62495040893555,-42.348323822021484,-232.8922882080078,1.8755281887368929,59,14,0,167
536,91.25370788574219,-41.294837951660156,-231.6967010498047,4.283327194661852,60,6,0,168
537,91.54480743408203,-43.250152587890625,-228.42172241210938,3.842665596484733,60,6,0,168
538,92.21980285644531,-45.04425811767578,-225.03567504882812,4.283037296301502,60,6,0,168
539,95.63802337646484,-50.335227966308594,-220.6313018798828,3.3410854197770083,60,8,0,170
540,96.51110076904297,-52.8372917175293,-218.9844207763672,3.080693754957682,60,8,0,170
541,97.23338317871094,-55.35081481933594,-217.35519409179688,2.5549166895416606,60,8,0,170
542,98.09445190429688,-57.74256896972656,-216.92433166503906,2.324721798325287,60,10,0,172
543,98.62723541259766,-58.91326904296875,-216.7613525390625,2.1417650791494687,60,10,0,172
544,100.63939666748047,-60.07829666137695,-217.2479248046875,1.786219050966484,60,12,0,174
545,104.0653305053711,-61.47352600097656,-217.36341857910156,1.1888016061822917,60,12,0,174
546,107.25607299804688,-63.33456802368164,-217.70376586914062,1.3274928276581306,60,12,0,174
547,110.36750030517578,-65.32356262207031,-218.06103515625,1.338602407604764,60,12,0,174
548,113.46524810791016,-67.33846282958984,-218.47213745117188,1.3486058318767806,60,12,0,174
549,98.83110809326172,-61.313228607177734,-216.3870391845703,1.9968500175570876,61,12,0,175
550,99.0665283203125,-64.43106079101562,-216.09751892089844,1.6083287732232154,61,12,0,175
551,99.0887451171875,-67.55513000488281,-215.82606506347656,1.5232159713166282,61,12,0,175
