,0
0,3.56
1,3.59
2,3.63
3,3.68
4,3.73
5,3.83
6,3.94
7,4.06
8,4.21
9,4.35
10,4.52
11,4.71
12,4.76
13,4.44
14,3.93
15,3.39
16,2.86
17,2.44
18,2.14
19,1.95
20,1.78
21,1.63
22,1.46
23,1.33
24,1.25
25,1.18
26,1.1
27,0.94
28,0.65
29,0.32
30,0.15
31,0.13
32,0.26
33,0.59
34,0.87
35,1.11
36,1.24
37,1.3
38,1.31
39,1.35
40,1.44
41,1.49
42,1.46
43,1.38
44,1.3
45,1.22
46,1.04
47,0.79
48,0.61
49,0.52
50,0.45
51,0.39
52,0.41
53,0.54
54,0.76
55,1.11
56,1.84
57,3.1
58,4.86
59,6.86
60,8.9
61,11.0
62,13.12
63,15.21
64,16.86
65,18.41
66,19.82
67,21.24
68,22.5
69,23.94
70,25.09
71,26.26
72,27.33
73,28.18
74,29.11
75,30.25
76,30.94
77,31.59
78,32.19
79,33.01
80,33.8
81,34.25
82,34.79
83,35.71
84,36.6
85,36.91
86,37.45
87,38.24
88,38.81
89,39.48
90,39.77
91,40.58
92,40.77
93,41.06
94,41.48
95,42.0
96,42.43
97,42.76
98,43.07
99,43.2
100,43.7
101,44.23
102,44.71
103,44.36
104,44.69
105,45.0
106,45.41
107,45.46
108,46.26
109,45.98
110,45.98
111,46.02
112,46.38
113,46.71
114,46.87
115,47.35
116,47.45
117,47.71
118,47.82
119,47.96
120,48.3
121,48.15
122,47.96
123,48.16
124,48.01
125,48.61
126,48.59
127,48.07
128,48.24
129,48.76
130,49.02
131,48.91
132,48.52
133,49.0
134,48.37
135,48.66
136,48.39
137,48.42
138,48.54
139,48.3
140,48.5
141,48.48
142,48.56
143,48.36
144,48.01
145,47.77
146,47.78
147,48.28
148,48.05
149,47.88
150,48.13
151,47.61
152,47.73
153,48.04
154,47.93
155,47.5
156,47.42
157,47.24
158,46.95
159,46.93
160,47.07
161,46.62
162,46.06
163,45.94
164,45.36
165,44.55
166,43.44
167,42.48
168,41.69
169,40.78
170,39.88
171,39.08
172,38.31
173,37.55
174,36.75
175,35.92
176,35.28
177,34.5
178,33.51
179,32.9
180,32.06
181,31.64
182,31.3
183,30.51
184,30.18
185,29.62
186,28.93
187,28.38
188,27.91
189,27.35
190,26.81
191,26.33
192,25.89
193,25.38
194,24.69
195,24.38
196,23.98
197,23.81
198,23.32
199,22.9
200,22.68
201,22.34
202,22.1
203,21.79
204,21.52
205,21.38
206,21.1
207,20.8
208,20.61
209,20.31
210,19.96
211,19.73
212,19.49
213,19.17
214,19.0
215,18.75
216,18.54
217,18.32
218,18.0
219,17.78
220,17.51
221,17.24
222,17.02
223,16.7
224,16.45
225,16.15
226,15.96
227,15.76
228,15.52
229,15.19
230,15.04
231,14.79
232,14.54
233,14.37
234,14.01
235,13.81
236,13.57
237,13.27
238,13.12
239,12.89
240,12.75
241,12.55
242,12.28
243,12.06
244,11.83
245,11.65
246,11.47
247,11.3
248,11.03
249,10.83
250,10.65
251,10.46
252,10.28
253,10.14
254,9.94
255,9.74
256,9.58
257,9.4
258,9.27
259,9.11
260,8.91
261,8.77
262,8.61
263,8.46
264,8.27
265,7.8
266,7.06
267,6.33
268,5.69
269,4.98
270,4.29
271,3.62
272,2.99
273,2.36
274,1.73
275,1.15
276,0.72
277,0.47
278,0.29
279,0.18
280,0.14
281,0.12
282,0.11
283,0.1
284,0.1
285,0.09
286,0.1
287,0.14
288,0.18
289,0.25
290,0.37
291,0.49
292,0.61
293,0.76
294,0.93
295,1.18
296,1.44
297,1.68
298,1.9
299,2.08
300,2.29
301,2.52
302,2.78
303,3.07
304,3.38
305,3.68
306,3.98
307,4.26
308,4.54
309,4.76
310,4.95
311,5.15
312,5.34
313,5.56
314,5.79
315,5.98
316,6.18
317,6.36
318,6.53
319,6.68
