,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
63,102.06061,7.844781,-150.0277,8.698236705646295,0.0,0.0,0.0,0.0
64,102.00511,8.304147,-154.07466,8.90180958283689,0.0,0.0,0.0,0.0
65,102.24191,8.715648,-158.10954,9.228457506282375,0.0,0.0,0.0,0.0
66,102.127144,9.160434,-162.13666,9.296863599195653,0.0,0.0,0.0,0.0
67,102.0882,9.807412,-166.14183,8.98793815178454,0.0,0.0,0.0,0.0
68,101.99246,10.563894,-170.14117,8.905007148717484,0.0,0.0,0.0,0.0
69,101.82336,11.628027,-174.04062,8.958255718018975,0.0,0.0,0.0,0.0
70,101.747894,12.615544,-177.98302,8.619622953662745,0.0,0.0,0.0,0.0
71,101.80494,13.363399,-181.99269,8.652689060969053,0.0,0.0,0.0,0.0
72,101.88916,13.698949,-186.0413,8.893564964769405,0.0,0.0,0.0,0.0
73,101.75862,13.56559,-190.05843,8.89374052281688,0.0,0.0,0.0,0.0
74,101.175896,13.477236,-193.94649,8.693055019788721,0.0,0.0,0.0,0.0
75,101.56631,8.403834,-202.49884,7.778676916477016,0.0,0.0,2.0,2.0
76,101.095406,5.857912,-205.77629,7.320711429050447,0.0,0.0,2.0,2.0
77,100.11808,3.5243158,-209.10791,7.241007175583621,0.0,0.0,2.0,2.0
78,99.57009,1.5840887,-212.75502,7.12929474349819,0.0,0.0,2.0,2.0
79,99.957275,-0.49304974,-216.3674,6.839226859195545,0.0,0.0,2.0,2.0
80,100.44073,-2.6968071,-219.84648,6.779548738455623,0.0,0.0,2.0,2.0
81,100.41528,-5.196466,-223.19926,6.463495542032788,0.0,0.0,2.0,2.0
82,100.02609,-7.930736,-226.31702,6.199075729310101,0.0,0.0,2.0,2.0
83,99.667755,-11.079874,-229.02802,5.89724982129272,0.0,0.0,2.0,2.0
84,99.48557,-14.261765,-231.8398,5.7661480765724935,0.0,0.0,2.0,2.0
85,99.22825,-17.45296,-234.50565,5.948079911151399,0.0,0.0,2.0,2.0
86,98.86776,-20.863306,-236.97981,6.11715972632039,0.0,0.0,2.0,2.0
87,98.30716,-24.354233,-239.13885,6.341942773526063,0.0,0.0,2.0,2.0
88,94.791405,-33.09567,-239.40437,5.140232055565776,0.0,0.0,4.0,4.0
89,91.458,-38.295315,-236.96024,4.731072135570049,0.0,0.0,4.0,4.0
90,91.25371,-41.294838,-231.6967,4.283327194661807,0.0,0.0,6.0,6.0
91,91.60566,-43.489414,-227.97794,3.8367464925838295,0.0,0.0,6.0,6.0
92,92.3762,-45.408863,-224.19719,4.404656289944039,0.0,0.0,6.0,6.0
93,89.33732,-46.021492,-220.06035,3.300924912172762,0.0,0.0,8.0,8.0
94,84.41349,-45.351654,-215.93263,3.175247459323965,0.0,0.0,8.0,8.0
95,82.84467,-43.31673,-211.85693,2.608257650911979,0.0,0.0,10.0,10.0
96,80.69059,-42.62586,-206.95418,2.393971278065675,0.0,0.0,10.0,10.0
97,80.27197,-43.54699,-204.62492,1.8805948297450679,0.0,0.0,12.0,12.0
98,79.27375,-44.48254,-200.60593,1.7890401610760382,0.0,0.0,12.0,12.0
99,78.67089,-45.30211,-196.48416,1.691845692817291,0.0,0.0,12.0,12.0
100,78.13098,-46.356625,-192.3886,1.7117103269027778,0.0,0.0,12.0,12.0
101,77.60475,-47.376076,-188.28453,1.7155904731677518,0.0,0.0,12.0,12.0
102,96.02934,-45.89812,-219.0956,3.6363676588043323,0.0,1.0,8.0,13.0
103,98.571236,-45.925694,-215.73424,3.2786292849829044,0.0,1.0,8.0,13.0
104,100.485756,-46.335995,-212.00972,3.0994847812816952,0.0,1.0,8.0,13.0
105,102.26776,-46.629925,-208.24628,2.7086949503017728,0.0,1.0,8.0,13.0
106,104.95674,-47.563316,-206.85724,2.447022105264571,0.0,1.0,10.0,15.0
107,108.86721,-48.8121,-204.04391,2.169700284337673,0.0,1.0,10.0,15.0
108,112.32895,-50.424915,-200.90868,1.863451363932927,0.0,1.0,10.0,15.0
109,112.81135,-51.594692,-199.34512,1.728153249702853,0.0,1.0,12.0,17.0
110,112.813324,-55.05162,-195.5664,1.2779944700987207,0.0,1.0,12.0,17.0
111,111.89477,-58.957462,-192.23103,1.293083587486557,0.0,1.0,12.0,17.0
112,110.99667,-62.82629,-188.83617,1.281684229657029,0.0,1.0,12.0,17.0
113,102.57258,-46.418922,-205.33673,2.9013946528082655,0.0,2.0,10.0,18.0
114,104.041855,-46.271755,-200.5708,2.819094796573294,0.0,2.0,10.0,18.0
115,106.30913,-44.833412,-199.31569,2.2293199565040025,0.0,2.0,12.0,20.0
116,110.087326,-43.35657,-199.17853,1.7916972029465814,0.0,2.0,12.0,20.0
117,113.690704,-41.635635,-200.0872,1.8000600946824894,0.0,2.0,12.0,20.0
118,117.192955,-39.800465,-201.18678,1.7996211095114827,0.0,2.0,12.0,20.0
119,95.63802,-50.335228,-220.6313,3.3410854197770057,0.0,3.0,8.0,21.0
120,97.23333,-55.3506,-217.35542,2.523271175121791,0.0,3.0,8.0,21.0
121,97.51566,-56.680477,-214.65788,2.0261261714164194,0.0,3.0,10.0,23.0
122,98.57514,-59.14145,-210.66727,1.7644561436783206,0.0,3.0,10.0,23.0
123,98.95529,-61.874737,-206.71727,1.761183823322419,0.0,3.0,10.0,23.0
124,99.1428,-64.60299,-202.72842,1.7744046040896255,0.0,3.0,10.0,23.0
125,80.03657,-45.475456,-214.23492,2.982364635813549,0.0,4.0,10.0,24.0
126,75.376915,-45.08483,-213.81236,2.862354899949372,0.0,4.0,10.0,24.0
