lobe,region,mass
ll,c,152.5824334047232
ll,p,163.93285539147428
lu,c,74.87080176506619
lu,p,159.42420734253642
rl,c,192.84678551278893
rl,p,132.97624777498012
rm,c,72.58551456083197
rm,p,155.96960089380133
ru,c,60.94324241068773
ru,p,189.53259860549778
mt,,1037.086263896327
tb,,361.1583550725115
