lobe,region,mass
ll,c,473.87636625855185
ll,p,225.79006996577843
lu,c,168.23034654683366
lu,p,180.66910464689346
rl,c,195.64659922580566
rl,p,97.89896558209695
rm,c,152.950683453212
rm,p,110.06788711504782
ru,c,160.38933340885964
ru,p,148.64543790530985
mt,,1824.4542315462425
tb,,330.15644337917666
