,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
2283,2283,97.42056,-26.964634,-239.01277,6.162824401379299,1.0,0.0,3.0,3.0
2284,2284,97.30566,-27.430819,-239.11,6.115517686233003,1.0,0.0,3.0,3.0
2285,2285,96.92836,-28.448391,-239.33017,6.03149365748642,1.0,0.0,3.0,3.0
2286,2286,96.858955,-28.726316,-239.34279,5.998401284666568,1.0,0.0,3.0,3.0
2287,2287,96.45301,-29.691015,-239.38554,5.839234768061262,1.0,0.0,3.0,3.0
2288,2288,96.44412,-29.72018,-239.38553,5.835052043444148,1.0,0.0,3.0,3.0
2289,2289,96.2437,-30.197676,-239.3656,5.744152622022341,1.0,0.0,3.0,3.0
2290,2290,95.9772,-30.864504,-239.30331,5.59772348035055,1.0,0.0,3.0,3.0
2291,2291,95.87234,-31.03886,-239.28569,5.553674616028813,1.0,0.0,3.0,3.0
2292,2292,95.319244,-32.31192,-239.08157,5.247306058862902,1.0,0.0,3.0,3.0
2293,2293,95.138176,-32.584484,-238.99397,5.158251671485145,1.0,0.0,3.0,3.0
2294,2294,95.09271,-32.670746,-238.96951,5.140232055565776,1.0,0.0,3.0,3.0
4857,4857,97.42056,-26.964634,-239.01277,6.162824401379299,1.0,1.0,3.0,3.0
4858,4858,97.30566,-27.430819,-239.11,6.115517686233003,1.0,1.0,3.0,3.0
4859,4859,96.92836,-28.448391,-239.33017,6.03149365748642,1.0,1.0,3.0,3.0
4860,4860,96.858955,-28.726316,-239.34279,5.998401284666568,1.0,1.0,3.0,3.0
4861,4861,96.45301,-29.691015,-239.38554,5.839234768061262,1.0,1.0,3.0,3.0
4862,4862,96.44412,-29.72018,-239.38553,5.835052043444148,1.0,1.0,3.0,3.0
4863,4863,96.2437,-30.197676,-239.3656,5.744152622022341,1.0,1.0,3.0,3.0
4864,4864,95.9772,-30.864504,-239.30331,5.59772348035055,1.0,1.0,3.0,3.0
4865,4865,95.87234,-31.03886,-239.28569,5.553674616028813,1.0,1.0,3.0,3.0
4866,4866,95.319244,-32.31192,-239.08157,5.247306058862902,1.0,1.0,3.0,3.0
4867,4867,95.138176,-32.584484,-238.99397,5.158251671485145,1.0,1.0,3.0,3.0
4868,4868,95.09271,-32.670746,-238.96951,5.140232055565776,1.0,1.0,3.0,3.0
7432,7432,97.42056,-26.964634,-239.01277,6.162824401379299,1.0,2.0,3.0,3.0
7433,7433,97.30566,-27.430819,-239.11,6.115517686233003,1.0,2.0,3.0,3.0
7434,7434,96.92836,-28.448391,-239.33017,6.03149365748642,1.0,2.0,3.0,3.0
7435,7435,96.858955,-28.726316,-239.34279,5.998401284666568,1.0,2.0,3.0,3.0
7436,7436,96.45301,-29.691015,-239.38554,5.839234768061262,1.0,2.0,3.0,3.0
7437,7437,96.44412,-29.72018,-239.38553,5.835052043444148,1.0,2.0,3.0,3.0
7438,7438,96.2437,-30.197676,-239.3656,5.744152622022341,1.0,2.0,3.0,3.0
7439,7439,95.9772,-30.864504,-239.30331,5.59772348035055,1.0,2.0,3.0,3.0
7440,7440,95.87234,-31.03886,-239.28569,5.553674616028813,1.0,2.0,3.0,3.0
7441,7441,95.319244,-32.31192,-239.08157,5.247306058862902,1.0,2.0,3.0,3.0
7442,7442,95.138176,-32.584484,-238.99397,5.158251671485145,1.0,2.0,3.0,3.0
7443,7443,95.09271,-32.670746,-238.96951,5.140232055565776,1.0,2.0,3.0,3.0
9975,9975,97.42056,-26.964634,-239.01277,6.162824401379299,1.0,3.0,3.0,3.0
9976,9976,97.30566,-27.430819,-239.11,6.115517686233003,1.0,3.0,3.0,3.0
9977,9977,96.92836,-28.448391,-239.33017,6.03149365748642,1.0,3.0,3.0,3.0
9978,9978,96.858955,-28.726316,-239.34279,5.998401284666568,1.0,3.0,3.0,3.0
9979,9979,96.45301,-29.691015,-239.38554,5.839234768061262,1.0,3.0,3.0,3.0
9980,9980,96.44412,-29.72018,-239.38553,5.835052043444148,1.0,3.0,3.0,3.0
9981,9981,96.2437,-30.197676,-239.3656,5.744152622022341,1.0,3.0,3.0,3.0
9982,9982,95.9772,-30.864504,-239.30331,5.59772348035055,1.0,3.0,3.0,3.0
9983,9983,95.87234,-31.03886,-239.28569,5.553674616028813,1.0,3.0,3.0,3.0
9984,9984,95.319244,-32.31192,-239.08157,5.247306058862902,1.0,3.0,3.0,3.0
9985,9985,95.138176,-32.584484,-238.99397,5.158251671485145,1.0,3.0,3.0,3.0
9986,9986,95.09271,-32.670746,-238.96951,5.140232055565776,1.0,3.0,3.0,3.0
