,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
12483,12483,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,4.0,4.0,4.0
12484,12484,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,4.0,4.0,4.0
12485,12485,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,4.0,4.0,4.0
12486,12486,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,4.0,4.0,4.0
12487,12487,92.08452,-37.538,-236.54198,4.71773566665717,0.0,4.0,4.0,4.0
12488,12488,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,4.0,4.0,4.0
12489,12489,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,4.0,4.0,4.0
15005,15005,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,5.0,4.0,4.0
15006,15006,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,5.0,4.0,4.0
15007,15007,94.43649,-33.932552,-238.60669,4.882622880987487,0.0,5.0,4.0,4.0
15008,15008,93.833916,-34.93191,-238.23273,4.7486823817270905,0.0,5.0,4.0,4.0
15009,15009,93.65388,-35.27716,-238.08272,4.737183775765019,0.0,5.0,4.0,4.0
15010,15010,93.26209,-35.78933,-237.7762,4.679769244366346,0.0,5.0,4.0,4.0
15011,15011,92.88967,-36.38316,-237.35423,4.6653969441238985,0.0,5.0,4.0,4.0
15012,15012,92.84355,-36.462864,-237.3118,4.666166936846189,0.0,5.0,4.0,4.0
15013,15013,92.66454,-36.69628,-237.14384,4.664574639666965,0.0,5.0,4.0,4.0
15014,15014,92.57731,-36.83743,-237.02673,4.665269743506291,0.0,5.0,4.0,4.0
15015,15015,92.08452,-37.538,-236.54198,4.71773566665717,0.0,5.0,4.0,4.0
15016,15016,92.07273,-37.56072,-236.52522,4.719550677841186,0.0,5.0,4.0,4.0
15017,15017,91.89958,-37.835556,-236.26476,4.731072135570049,0.0,5.0,4.0,4.0
17515,17515,95.09271,-32.670746,-238.96951,5.140232055565776,0.0,6.0,4.0,4.0
17516,17516,94.47133,-33.84964,-238.63521,4.893963971334402,0.0,6.0,4.0,4.0
