,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
2138,2138,101.56631,8.403834,-202.49884,7.778676916477016,0.0,0.0,2.0,2.0
2139,2139,101.56671,8.393939,-202.51242,7.776202308611433,0.0,0.0,2.0,2.0
2140,2140,101.56558,8.09328,-202.8942,7.707117732415703,0.0,0.0,2.0,2.0
2141,2141,101.542786,7.8865833,-203.17479,7.652417469776095,0.0,0.0,2.0,2.0
2142,2142,101.472664,7.133324,-204.13106,7.501109456153467,0.0,0.0,2.0,2.0
2143,2143,101.42691,6.935815,-204.39923,7.466517969720106,0.0,0.0,2.0,2.0
2144,2144,101.397446,6.8257484,-204.53928,7.448041820557242,0.0,0.0,2.0,2.0
2145,2145,101.35334,6.584608,-204.81715,7.412462120057631,0.0,0.0,2.0,2.0
2146,2146,101.24937,6.2264886,-205.27226,7.355054400333313,0.0,0.0,2.0,2.0
2147,2147,101.11058,5.8889537,-205.73323,7.315604841590517,0.0,0.0,2.0,2.0
2148,2148,101.04752,5.7590322,-205.9131,7.301163938726056,0.0,0.0,2.0,2.0
2149,2149,100.88356,5.3555517,-206.47876,7.279329738409482,0.0,0.0,2.0,2.0
2150,2150,100.6424,4.9058394,-207.09254,7.281804410789901,0.0,0.0,2.0,2.0
2151,2151,100.550514,4.700079,-207.3611,7.289039844873577,0.0,0.0,2.0,2.0
2152,2152,100.51903,4.6176105,-207.49498,7.288588581165834,0.0,0.0,2.0,2.0
2153,2153,100.35947,4.2217493,-208.05531,7.282064450645237,0.0,0.0,2.0,2.0
2154,2154,100.30788,4.117864,-208.19705,7.280898474705203,0.0,0.0,2.0,2.0
2155,2155,100.16485,3.6812088,-208.84702,7.242087413990971,0.0,0.0,2.0,2.0
2156,2156,100.13069,3.551792,-209.06361,7.23604515876044,0.0,0.0,2.0,2.0
2157,2157,100.06941,3.3628876,-209.37071,7.223061076418583,0.0,0.0,2.0,2.0
2158,2158,99.86219,2.9131927,-210.2735,7.190988996844848,0.0,0.0,2.0,2.0
2159,2159,99.83606,2.834614,-210.41844,7.192811324858882,0.0,0.0,2.0,2.0
2160,2160,99.82181,2.7151058,-210.6331,7.179640817605067,0.0,0.0,2.0,2.0
2161,2161,99.79639,2.6180234,-210.83626,7.165420944898942,0.0,0.0,2.0,2.0
2162,2162,99.57732,2.055492,-212.014,7.159369736009203,0.0,0.0,2.0,2.0
2163,2163,99.57055,1.9713094,-212.17265,7.151931043043859,0.0,0.0,2.0,2.0
2164,2164,99.55337,1.8057477,-212.42854,7.130027184251073,0.0,0.0,2.0,2.0
2165,2165,99.55478,1.7717654,-212.48239,7.122627433695056,0.0,0.0,2.0,2.0
2166,2166,99.56646,1.4508171,-212.95135,7.057051248499269,0.0,0.0,2.0,2.0
2167,2167,99.58497,1.311147,-213.14835,7.02873220799966,0.0,0.0,2.0,2.0
2168,2168,99.62416,1.1297227,-213.40283,6.990149057982047,0.0,0.0,2.0,2.0
2169,2169,99.634674,1.0550069,-213.49516,6.97337080103321,0.0,0.0,2.0,2.0
2170,2170,99.66012,0.8795002,-213.76439,6.931824106432406,0.0,0.0,2.0,2.0
2171,2171,99.69878,0.540504,-214.29715,6.869364770997631,0.0,0.0,2.0,2.0
2172,2172,99.717224,0.38338462,-214.58307,6.846866020201429,0.0,0.0,2.0,2.0
2173,2173,99.72191,0.35835448,-214.62732,6.845567584435083,0.0,0.0,2.0,2.0
2174,2174,99.76702,0.09516483,-215.11575,6.834747122062261,0.0,0.0,2.0,2.0
2175,2175,99.7742,0.038015887,-215.22371,6.8352986475316895,0.0,0.0,2.0,2.0
2176,2176,99.90226,-0.3682906,-216.07962,6.840341358519257,0.0,0.0,2.0,2.0
2177,2177,100.015144,-0.5847558,-216.54819,6.848797103877604,0.0,0.0,2.0,2.0
2178,2178,100.156334,-0.9575484,-217.39844,6.90135506282653,0.0,0.0,2.0,2.0
2179,2179,100.184395,-1.0187349,-217.51044,6.904999384394211,0.0,0.0,2.0,2.0
2180,2180,100.19229,-1.0397172,-217.55057,6.904875683574975,0.0,0.0,2.0,2.0
2181,2181,100.2103,-1.1032254,-217.67226,6.899996778330344,0.0,0.0,2.0,2.0
2182,2182,100.2728,-1.6092837,-218.38718,6.877993945407161,0.0,0.0,2.0,2.0
2183,2183,100.27324,-1.6171597,-218.39807,6.878065524009814,0.0,0.0,2.0,2.0
2184,2184,100.2928,-1.7329639,-218.54556,6.866942527428539,0.0,0.0,2.0,2.0
2185,2185,100.29401,-1.7486855,-218.5649,6.864551508129052,0.0,0.0,2.0,2.0
2186,2186,100.294014,-1.7487487,-218.56497,6.8645419056419055,0.0,0.0,2.0,2.0
2187,2187,100.29734,-1.8176079,-218.65921,6.8514242611875895,0.0,0.0,2.0,2.0
2188,2188,100.35417,-2.205072,-219.18938,6.790372917135871,0.0,0.0,2.0,2.0
2189,2189,100.35736,-2.2224298,-219.21313,6.788580804741375,0.0,0.0,2.0,2.0
2190,2190,100.38267,-2.3309937,-219.36166,6.777717204970871,0.0,0.0,2.0,2.0
2191,2191,100.38287,-2.3318691,-219.36287,6.777629595295301,0.0,0.0,2.0,2.0
2192,2192,100.40033,-2.387255,-219.43658,6.77015608698259,0.0,0.0,2.0,2.0
2193,2193,100.439896,-2.619378,-219.7336,6.719971769047332,0.0,0.0,2.0,2.0
2194,2194,100.46191,-2.8998768,-220.09592,6.661724505071103,0.0,0.0,2.0,2.0
2195,2195,100.462,-2.9010034,-220.09737,6.661490580316178,0.0,0.0,2.0,2.0
2196,2196,100.49358,-3.0872896,-220.33728,6.628855413348447,0.0,0.0,2.0,2.0
2197,2197,100.532,-3.4156618,-220.82874,6.590290391750399,0.0,0.0,2.0,2.0
2198,2198,100.53215,-3.4169805,-220.8307,6.590135512145587,0.0,0.0,2.0,2.0
2199,2199,100.5103,-3.811081,-221.33357,6.538197307537263,0.0,0.0,2.0,2.0
2200,2200,100.48785,-3.9660761,-221.55338,6.524385901961365,0.0,0.0,2.0,2.0
2201,2201,100.49039,-4.2816615,-221.99815,6.49996938823684,0.0,0.0,2.0,2.0
2202,2202,100.48736,-4.4816737,-222.23839,6.484736354491674,0.0,0.0,2.0,2.0
2203,2203,100.473976,-4.567724,-222.35632,6.473363226074813,0.0,0.0,2.0,2.0
2204,2204,100.43226,-4.9523253,-222.90117,6.449709274443874,0.0,0.0,2.0,2.0
2205,2205,100.4278,-5.01923,-223.00748,6.446417693261052,0.0,0.0,2.0,2.0
2206,2206,100.40926,-5.3448763,-223.42921,6.414326784763115,0.0,0.0,2.0,2.0
2207,2207,100.40934,-5.40172,-223.48926,6.404894145450149,0.0,0.0,2.0,2.0
2208,2208,100.35847,-5.942872,-224.16272,6.33812468312266,0.0,0.0,2.0,2.0
2209,2209,100.33256,-6.085824,-224.33186,6.326077891461039,0.0,0.0,2.0,2.0
2210,2210,100.33245,-6.086398,-224.33255,6.326029510771635,0.0,0.0,2.0,2.0
2211,2211,100.322426,-6.1938906,-224.45644,6.318032147278144,0.0,0.0,2.0,2.0
2212,2212,100.30358,-6.365579,-224.66537,6.305212856529179,0.0,0.0,2.0,2.0
2213,2213,100.265144,-6.5386424,-224.8959,6.291152450270671,0.0,0.0,2.0,2.0
2214,2214,100.2566,-6.692732,-225.09174,6.272441886168458,0.0,0.0,2.0,2.0
2215,2215,100.226105,-6.9982195,-225.39908,6.229832469746251,0.0,0.0,2.0,2.0
2216,2216,100.135826,-7.4243927,-225.87422,6.183571373122387,0.0,0.0,2.0,2.0
2217,2217,100.12511,-7.4654093,-225.91498,6.177089632066408,0.0,0.0,2.0,2.0
2218,2218,100.0404,-7.894409,-226.33057,6.145895796362087,0.0,0.0,2.0,2.0
2219,2219,99.959496,-8.153504,-226.55072,6.117631284743295,0.0,0.0,2.0,2.0
2220,2220,99.93111,-8.289201,-226.67046,6.095688237041361,0.0,0.0,2.0,2.0
2221,2221,99.867714,-8.582985,-226.90402,6.0564940463909664,0.0,0.0,2.0,2.0
2222,2222,99.858116,-8.647296,-226.95346,6.047166379045754,0.0,0.0,2.0,2.0
2223,2223,99.74646,-9.268222,-227.51128,6.019135066274771,0.0,0.0,2.0,2.0
2224,2224,99.738754,-9.344529,-227.5768,6.015027558093581,0.0,0.0,2.0,2.0
2225,2225,99.71231,-9.504412,-227.71573,5.993432774229753,0.0,0.0,2.0,2.0
2226,2226,99.68951,-9.745847,-227.92345,5.9591586135189,0.0,0.0,2.0,2.0
2227,2227,99.68932,-9.747794,-227.92513,5.958882208997038,0.0,0.0,2.0,2.0
2228,2228,99.690186,-10.121824,-228.22827,5.910305815201922,0.0,0.0,2.0,2.0
2229,2229,99.68937,-10.180735,-228.28043,5.90378513362986,0.0,0.0,2.0,2.0
2230,2230,99.68959,-10.303083,-228.38799,5.89655506829094,0.0,0.0,2.0,2.0
2231,2231,99.68425,-10.408795,-228.47633,5.886495082235145,0.0,0.0,2.0,2.0
2232,2232,99.68531,-10.600685,-228.60724,5.853409514899546,0.0,0.0,2.0,2.0
2233,2233,99.68533,-10.604601,-228.60991,5.8527342992396365,0.0,0.0,2.0,2.0
2234,2234,99.69081,-10.69785,-228.67099,5.836023377426495,0.0,0.0,2.0,2.0
2235,2235,99.69095,-10.700143,-228.67249,5.835612453119615,0.0,0.0,2.0,2.0
2236,2236,99.6952,-11.163031,-229.05798,5.786326664798258,0.0,0.0,2.0,2.0
2237,2237,99.687904,-11.22925,-229.10948,5.776059369160222,0.0,0.0,2.0,2.0
2238,2238,99.63646,-11.693616,-229.56715,5.72254622238741,0.0,0.0,2.0,2.0
2239,2239,99.62065,-12.288145,-230.07045,5.72072874793927,0.0,0.0,2.0,2.0
2240,2240,99.607544,-12.434418,-230.19398,5.725060127955008,0.0,0.0,2.0,2.0
2241,2241,99.60418,-12.538991,-230.28726,5.728306176956743,0.0,0.0,2.0,2.0
2242,2242,99.547195,-13.007726,-230.69131,5.736459345586571,0.0,0.0,2.0,2.0
2243,2243,99.52687,-13.402574,-231.04309,5.769148175578665,0.0,0.0,2.0,2.0
2244,2244,99.53124,-13.938034,-231.5163,5.842306587886556,0.0,0.0,2.0,2.0
2245,2245,99.53227,-13.962854,-231.5412,5.847347028639444,0.0,0.0,2.0,2.0
2246,2246,99.51619,-14.496317,-231.96591,5.900992926935018,0.0,0.0,2.0,2.0
2247,2247,99.50574,-14.836168,-232.28305,5.936157371593691,0.0,0.0,2.0,2.0
2248,2248,99.50637,-14.861982,-232.30032,5.937645569278223,0.0,0.0,2.0,2.0
