,Unnamed: 0,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
86604,86604,98.49397,-31.872553,-245.1134,5.833844284355076,0.0,33.0,4.0,97.0
86605,86605,98.527626,-31.994156,-245.21272,5.805633141557235,0.0,33.0,4.0,97.0
86606,86606,98.52789,-31.995132,-245.21352,5.805406546032754,0.0,33.0,4.0,97.0
86607,86607,98.53354,-32.020283,-245.23143,5.800902333105503,0.0,33.0,4.0,97.0
86608,86608,98.72199,-32.834717,-246.0095,5.693790476978211,0.0,33.0,4.0,97.0
86609,86609,98.83914,-33.167343,-246.34575,5.677976196427977,0.0,33.0,4.0,97.0
86610,86610,99.024,-33.83859,-247.03247,5.722249067897133,0.0,33.0,4.0,97.0
86611,86611,99.104515,-34.058216,-247.23863,5.752586966031353,0.0,33.0,4.0,97.0
86612,86612,99.58401,-34.70889,-247.86375,5.649819499129576,0.0,33.0,4.0,97.0
86613,86613,99.624306,-34.747147,-247.88776,5.632112730186439,0.0,33.0,4.0,97.0
86614,86614,100.17267,-35.208736,-248.2985,5.4348184367449175,0.0,33.0,4.0,97.0
86615,86615,100.2161,-35.251503,-248.32986,5.422036979696524,0.0,33.0,4.0,97.0
86616,86616,100.38351,-35.420464,-248.46352,5.386751055852865,0.0,33.0,4.0,97.0
89041,89041,98.49397,-31.872553,-245.1134,5.833844284355076,0.0,34.0,4.0,97.0
89042,89042,98.527626,-31.994156,-245.21272,5.805633141557235,0.0,34.0,4.0,97.0
89043,89043,98.52789,-31.995132,-245.21352,5.805406546032754,0.0,34.0,4.0,97.0
89044,89044,98.53354,-32.020283,-245.23143,5.800902333105503,0.0,34.0,4.0,97.0
89045,89045,98.72199,-32.834717,-246.0095,5.693790476978211,0.0,34.0,4.0,97.0
89046,89046,98.83914,-33.167343,-246.34575,5.677976196427977,0.0,34.0,4.0,97.0
89047,89047,99.024,-33.83859,-247.03247,5.722249067897133,0.0,34.0,4.0,97.0
89048,89048,99.104515,-34.058216,-247.23863,5.752586966031353,0.0,34.0,4.0,97.0
89049,89049,99.22798,-34.45651,-247.67761,5.825343601311653,0.0,34.0,4.0,97.0
89050,89050,99.29917,-34.666004,-247.90907,5.869944404408258,0.0,34.0,4.0,97.0
89051,89051,99.32615,-34.7793,-248.04181,5.890747421079805,0.0,34.0,4.0,97.0
89052,89052,99.33746,-34.90738,-248.19942,5.9053526774536245,0.0,34.0,4.0,97.0
91634,91634,98.49397,-31.872553,-245.1134,5.833844284355076,0.0,35.0,4.0,97.0
91635,91635,98.527626,-31.994156,-245.21272,5.805633141557235,0.0,35.0,4.0,97.0
91636,91636,98.52789,-31.995132,-245.21352,5.805406546032754,0.0,35.0,4.0,97.0
91637,91637,98.53354,-32.020283,-245.23143,5.800902333105503,0.0,35.0,4.0,97.0
91638,91638,98.72199,-32.834717,-246.0095,5.693790476978211,0.0,35.0,4.0,97.0
91639,91639,98.83914,-33.167343,-246.34575,5.677976196427977,0.0,35.0,4.0,97.0
91640,91640,99.024,-33.83859,-247.03247,5.722249067897133,0.0,35.0,4.0,97.0
91641,91641,99.104515,-34.058216,-247.23863,5.752586966031353,0.0,35.0,4.0,97.0
91642,91642,99.22798,-34.45651,-247.67761,5.825343601311653,0.0,35.0,4.0,97.0
91643,91643,99.29917,-34.666004,-247.90907,5.869944404408258,0.0,35.0,4.0,97.0
91644,91644,99.32615,-34.7793,-248.04181,5.890747421079805,0.0,35.0,4.0,97.0
91645,91645,99.33746,-34.90738,-248.19942,5.9053526774536245,0.0,35.0,4.0,97.0
94152,94152,98.49397,-31.872553,-245.1134,5.833844284355076,0.0,36.0,4.0,97.0
94153,94153,98.527626,-31.994156,-245.21272,5.805633141557235,0.0,36.0,4.0,97.0
94154,94154,98.52789,-31.995132,-245.21352,5.805406546032754,0.0,36.0,4.0,97.0
