lobe,region,mass
ll,c,154.3677216418111
ll,p,134.01257588441416
lu,c,44.122922555676496
lu,p,111.96878647621695
rl,c,107.78860597799752
rl,p,90.09036177311008
rm,c,77.54418539269085
rm,p,88.50552166268896
ru,c,44.55281331959331
ru,p,129.312263763709
mt,,1070.9881679891957
tb,,542.3880665213087
