,0
0,14.68
1,14.74
2,14.85
3,15.01
4,15.08
5,14.96
6,14.86
7,14.86
8,15.0
9,15.28
10,15.4
11,15.38
12,15.39
13,15.44
14,15.46
15,15.59
16,15.75
17,15.75
18,15.83
19,15.92
20,15.92
21,15.9
22,16.01
23,16.09
24,16.07
25,16.14
26,16.32
27,16.39
28,16.38
29,16.34
30,16.4
31,16.52
32,16.56
33,16.57
34,16.55
35,16.59
36,16.61
37,16.56
38,16.58
39,16.8
40,16.85
41,16.86
42,16.86
43,16.81
44,16.79
45,16.66
46,16.73
47,16.64
48,16.39
49,16.44
50,16.85
51,17.23
52,17.41
53,17.46
54,17.48
55,17.42
56,17.45
57,17.77
58,18.02
59,17.99
60,18.05
61,18.16
62,18.14
63,18.25
64,18.32
65,18.33
66,18.41
67,18.48
68,18.61
69,18.69
70,18.59
71,18.49
72,18.43
73,18.54
74,18.58
75,18.61
76,18.81
77,19.03
78,19.07
79,19.28
80,19.45
81,19.86
82,20.09
83,20.3
84,20.48
85,20.85
86,21.01
87,21.09
88,21.2
89,21.36
90,21.64
91,21.82
92,21.96
93,22.36
94,22.41
95,22.49
96,22.57
97,22.74
98,22.93
99,22.96
100,23.09
101,23.46
102,23.53
103,23.58
104,23.96
105,24.16
106,23.78
107,23.76
108,23.68
109,23.98
110,24.16
111,24.39
112,24.47
113,24.4
114,24.43
115,24.53
116,24.75
117,24.7
118,24.71
119,24.64
120,24.6
121,24.58
122,24.58
123,24.57
124,24.81
125,24.46
126,24.51
127,24.81
128,24.62
129,24.7
130,24.48
131,24.53
132,24.47
133,24.42
134,24.57
135,24.63
136,24.41
137,24.36
138,24.31
139,24.25
140,24.08
141,24.07
142,24.15
143,24.16
144,24.03
145,23.89
146,23.8
147,23.91
148,23.83
149,23.69
150,23.54
151,23.54
152,23.48
153,23.54
154,23.54
155,23.25
156,23.2
157,23.3
158,23.19
159,23.08
160,23.01
161,22.83
162,22.49
163,22.04
164,21.77
165,21.47
166,21.49
167,21.24
168,21.08
169,20.84
170,20.73
171,20.62
172,20.42
173,20.12
174,19.82
175,19.34
176,18.92
177,18.8
178,18.53
179,18.34
180,18.24
181,18.28
182,18.22
183,17.98
184,17.8
185,17.61
186,17.59
187,17.4
188,17.2
189,17.02
190,16.89
191,16.85
192,16.65
193,16.55
194,16.45
195,16.26
196,16.17
197,16.11
198,15.89
199,15.74
200,15.48
201,15.38
202,15.23
203,15.11
204,15.07
205,14.91
206,14.77
207,14.6
208,14.52
209,14.41
210,14.34
211,14.3
