,0
0,9.88
1,9.86
2,9.83
3,9.78
4,9.74
5,9.75
6,9.76
7,9.78
8,9.79
9,9.8
10,9.84
11,9.86
12,9.9
13,9.91
14,9.96
15,9.99
16,10.04
17,10.06
18,10.14
19,10.21
20,10.27
21,10.35
22,10.44
23,10.51
24,10.65
25,10.81
26,10.96
27,11.15
28,11.36
29,11.61
30,11.8
31,11.87
32,11.47
33,10.71
34,10.06
35,9.68
36,9.7
37,9.7
38,9.68
39,9.58
40,9.44
41,9.22
42,8.88
43,8.7
44,8.66
45,8.62
46,8.45
47,8.32
48,8.29
49,8.25
50,8.17
51,8.03
52,7.98
53,7.99
54,8.0
55,7.94
56,7.92
57,7.89
58,7.75
59,7.62
60,7.43
61,7.29
62,7.25
63,7.13
64,6.84
65,6.61
66,6.47
67,6.36
68,6.13
69,5.93
70,5.8
71,5.68
72,5.49
73,5.27
74,5.08
75,4.95
76,4.82
77,4.67
78,4.51
79,4.37
80,4.24
81,4.11
82,3.96
83,3.81
84,3.7
85,3.6
86,3.46
87,3.33
88,3.23
89,3.14
90,3.05
91,2.95
92,2.85
93,2.75
94,2.68
95,2.58
96,2.5
97,2.44
98,2.39
99,2.32
100,2.23
101,2.15
102,2.11
103,2.07
104,2.02
105,1.95
106,1.91
107,1.87
108,1.84
109,1.81
110,1.77
111,1.74
112,1.72
113,1.63
114,1.2
115,0.59
116,0.22
117,0.12
118,0.1
119,0.08
120,0.08
121,0.07
122,0.05
123,0.05
124,0.05
125,0.06
126,0.06
127,0.06
128,0.08
129,0.11
130,0.2
131,0.33
132,0.51
133,0.73
134,0.67
135,0.29
136,0.11
137,0.06
138,0.08
139,0.13
140,0.23
141,0.28
142,0.3
143,0.31
144,0.3
145,0.29
146,0.23
147,0.18
148,0.18
149,0.18
150,0.15
151,0.14
152,0.16
153,0.18
154,0.22
155,0.3
156,0.54
157,1.05
158,2.01
159,3.29
160,5.16
161,7.11
162,9.31
163,11.52
164,13.5
165,15.25
166,16.88
167,18.43
168,19.83
169,21.28
170,22.54
171,23.88
172,25.0
173,25.91
174,27.16
175,28.15
176,28.95
177,29.65
178,30.39
179,31.39
180,32.13
181,32.7
182,33.28
183,33.7
184,34.69
185,35.21
186,35.6
187,36.37
188,36.98
189,37.4
190,38.05
191,38.51
192,38.8
193,39.15
194,39.81
195,39.97
196,40.45
197,40.87
198,41.26
199,41.26
200,41.65
201,41.95
202,41.99
203,42.57
204,42.6
205,42.93
206,43.18
207,43.27
208,43.93
209,43.63
210,44.16
211,44.33
212,44.26
213,44.54
214,44.79
215,45.24
216,45.16
217,45.35
218,45.7
219,45.6
220,45.69
221,45.82
222,46.15
223,46.4
224,46.2
225,46.08
226,45.95
227,46.41
228,46.39
229,46.45
230,46.6
231,46.58
232,46.72
233,46.82
234,46.68
235,46.75
236,46.66
237,46.6
238,46.53
239,46.52
240,46.79
241,46.63
242,46.27
243,46.51
244,46.61
245,46.83
246,46.7
247,46.22
248,45.79
249,45.78
250,46.18
251,45.84
252,46.16
253,45.87
254,45.23
255,45.42
256,45.55
257,45.22
258,44.93
259,45.05
260,44.86
261,44.61
262,44.74
263,44.31
264,44.34
265,43.88
266,43.3
267,42.07
268,41.16
269,40.41
270,39.51
271,38.56
272,37.63
273,36.48
274,35.26
275,35.24
276,34.44
277,33.7
278,33.21
279,32.62
280,31.89
281,31.1
282,30.56
283,30.05
284,29.44
285,28.79
286,28.33
287,27.84
288,27.4
289,26.78
290,26.48
291,26.03
292,25.56
293,25.25
294,25.03
295,24.78
296,24.41
297,24.13
298,23.72
299,23.46
300,23.09
301,22.77
302,22.54
303,22.21
304,21.89
305,21.51
306,21.23
307,20.9
308,20.53
309,20.27
310,20.0
311,19.69
312,19.44
313,19.14
314,18.92
315,18.72
316,18.48
317,18.29
318,18.05
319,17.77
320,17.46
321,17.27
322,16.95
323,16.59
324,16.42
325,16.12
326,15.77
327,15.52
328,15.32
329,15.07
330,14.77
331,14.54
332,14.34
333,14.07
334,13.83
335,13.62
336,13.37
337,13.09
338,12.83
339,12.61
340,12.43
341,12.15
342,11.97
343,11.74
344,11.54
345,11.33
346,11.14
347,10.97
348,10.82
349,10.6
350,10.4
351,10.19
352,10.0
353,9.88
354,9.7
355,9.5
356,9.33
357,9.18
358,9.06
359,8.84
360,8.69
361,8.6
362,8.42
363,8.27
364,8.18
365,8.03
366,7.68
367,7.04
368,6.31
369,5.59
370,4.82
371,4.06
372,3.31
373,2.64
374,2.01
375,1.47
376,1.03
377,0.62
378,0.36
379,0.23
380,0.16
381,0.13
382,0.11
383,0.1
384,0.09
385,0.09
386,0.09
387,0.09
388,0.09
389,0.09
390,0.09
391,0.09
392,0.09
393,0.1
394,0.1
395,0.11
396,0.12
397,0.14
398,0.17
399,0.21
400,0.27
401,0.73
402,1.29
403,1.65
404,1.95
405,2.11
406,2.29
407,2.5
408,2.75
409,2.97
410,3.2
411,3.38
412,3.55
413,3.74
414,3.93
415,4.09
416,4.26
417,4.45
418,4.66
419,4.87
420,5.06
421,5.21
422,5.36
423,5.47
424,5.57
425,5.69
426,5.81
427,5.95
428,6.11
429,6.26
430,6.42
431,6.54
432,6.64
433,6.7
434,6.77
435,6.87
436,6.97
437,7.08
438,7.23
439,7.38
440,7.53
441,7.63
442,7.72
443,7.8
444,7.88
445,7.99
446,8.1
447,8.21
448,8.35
449,8.52
450,8.62
451,8.72
452,8.81
453,8.91
454,9.02
455,9.13
456,9.21
457,9.3
458,9.44
459,9.6
460,9.78
461,9.93
462,10.04
463,10.11
464,10.2
465,10.28
466,10.43
467,10.6
468,10.77
469,10.96
470,11.12
471,11.25
472,11.36
473,11.48
474,11.57
475,11.65
476,11.76
477,11.87
478,12.06
479,12.18
480,12.36
481,12.46
482,12.55
483,12.65
484,12.67
485,12.72
486,12.81
487,12.84
488,13.02
489,13.2
490,13.36
491,13.43
492,13.5
493,13.56
494,13.61
495,13.69
496,13.87
497,14.02
498,14.06
499,14.06
500,14.23
501,14.35
502,14.43
503,14.54
504,14.58
505,14.67
506,14.72
507,14.83
508,14.94
509,15.09
510,15.17
511,15.15
512,15.01
513,14.91
514,14.95
515,15.25
516,15.47
517,15.57
518,15.6
519,15.59
520,15.56
521,15.58
522,15.76
523,15.84
524,15.89
525,15.94
526,16.02
527,16.05
528,16.2
529,16.21
530,16.31
531,16.39
532,16.34
533,16.41
534,16.41
535,16.49
536,16.54
537,16.65
538,16.68
539,16.72
540,16.74
541,16.77
542,16.86
543,16.87
544,16.88
545,16.96
546,17.13
547,17.2
548,17.08
549,17.15
550,17.22
551,17.2
552,17.25
553,17.27
554,17.31
555,17.4
556,17.29
557,16.98
558,16.61
559,16.62
560,17.18
561,17.53
562,17.45
563,17.28
564,17.23
565,17.29
566,17.48
567,17.82
568,17.98
569,18.09
570,18.12
571,18.09
572,18.08
573,18.25
574,18.28
575,18.32
576,18.23
577,18.31
578,18.55
579,18.52
580,18.55
581,18.55
582,18.59
583,18.76
584,18.91
585,19.28
586,19.42
587,19.56
588,19.85
589,20.01
590,20.26
591,20.56
592,20.87
593,20.89
594,20.97
595,21.15
596,21.55
597,21.75
598,21.94
599,21.93
600,22.16
601,22.27
602,22.4
603,22.58
604,22.74
605,22.89
606,23.08
607,23.36
608,23.52
609,23.72
610,23.56
611,23.53
612,23.44
613,23.55
614,23.91
615,23.94
616,24.02
617,24.11
618,24.09
619,23.98
620,24.13
621,24.36
622,24.31
623,24.35
624,24.36
625,24.32
626,24.35
627,24.29
628,24.51
629,24.47
630,24.51
631,24.42
632,24.47
633,24.38
634,24.5
635,24.28
636,24.26
637,24.32
638,24.25
639,24.22
640,24.22
641,24.34
642,24.28
643,24.24
644,24.13
645,23.96
646,24.12
647,24.05
648,23.98
649,23.83
650,23.95
651,23.88
652,23.87
653,23.89
654,23.64
655,23.52
656,23.36
657,23.2
658,23.26
659,23.29
660,23.23
661,23.01
662,23.08
663,23.06
664,22.91
665,22.95
666,22.85
667,22.97
668,22.63
669,22.06
670,21.95
671,21.65
672,21.52
673,21.16
674,21.02
675,20.66
676,20.6
677,20.35
678,20.09
679,19.84
680,19.59
681,19.11
682,18.81
683,18.58
684,18.37
685,18.24
686,18.24
687,18.2
688,18.0
689,17.87
690,17.72
691,17.59
692,17.48
693,17.3
694,17.18
695,16.98
696,16.79
697,16.67
698,16.58
699,16.48
700,16.32
701,16.18
702,16.1
703,15.99
704,15.79
705,15.59
706,15.43
707,15.29
708,15.15
709,15.08
710,14.96
711,14.83
712,14.77
713,14.6
714,14.49
715,14.42
716,14.29
717,14.24
718,14.2
719,14.13
720,14.0
721,13.78
722,13.55
723,13.32
724,13.31
725,13.21
726,12.98
727,12.74
728,12.45
729,12.24
730,12.16
731,12.1
732,11.99
733,11.78
734,11.62
735,11.5
736,11.38
737,11.33
738,11.19
739,11.06
740,10.94
741,10.86
742,10.8
743,10.72
744,10.63
745,10.59
746,10.48
747,10.38
748,10.29
749,10.21
750,10.14
751,10.11
752,10.06
753,10.02
754,10.0
755,9.97
756,9.94
757,9.92
758,9.9
759,9.88
760,9.89
761,9.89
762,9.91
763,9.94
764,9.96
765,9.96
766,9.96
767,10.01
768,10.06
769,10.09
770,10.15
771,10.2
772,10.25
773,10.29
774,10.33
775,10.43
776,10.52
777,10.58
778,10.69
779,10.81
780,10.95
781,11.09
782,11.28
783,11.54
784,11.78
785,11.92
786,11.75
787,11.05
788,10.37
789,9.8
790,9.66
791,9.74
792,9.73
793,9.68
794,9.53
795,9.28
796,8.98
797,8.76
798,8.68
799,8.66
800,8.55
801,8.39
802,8.29
803,8.29
804,8.23
805,8.08
806,7.99
807,7.97
808,8.0
809,7.95
810,7.91
811,7.91
812,7.83
813,7.68
814,7.56
815,7.37
816,7.27
817,7.24
818,7.05
819,6.76
820,6.58
821,6.48
822,6.32
823,6.09
824,5.9
825,5.8
826,5.67
827,5.46
828,5.23
829,5.07
830,4.96
831,4.81
832,4.64
833,4.49
834,4.39
835,4.25
836,4.08
837,3.93
838,3.8
839,3.7
840,3.58
841,3.45
842,3.33
843,3.23
844,3.14
845,3.04
846,2.94
847,2.84
848,2.75
849,2.67
850,2.59
851,2.52
852,2.46
853,2.39
854,2.3
855,2.23
856,2.18
857,2.14
858,2.09
859,2.04
860,1.99
861,1.95
862,1.92
863,1.87
864,1.84
865,1.81
866,1.81
867,1.79
868,1.66
869,1.16
870,0.54
871,0.2
872,0.12
873,0.1
874,0.08
875,0.08
876,0.07
877,0.06
878,0.06
879,0.06
880,0.06
881,0.06
882,0.07
883,0.09
884,0.13
885,0.22
886,0.36
887,0.55
888,0.72
889,0.52
890,0.19
891,0.09
892,0.06
893,0.1
894,0.18
895,0.28
896,0.32
897,0.33
898,0.33
899,0.29
900,0.28
901,0.23
902,0.19
903,0.19
904,0.19
905,0.16
906,0.15
907,0.18
908,0.2
909,0.26
910,0.37
911,0.64
912,1.16
913,2.16
914,3.62
915,5.48
916,7.53
917,9.76
918,11.88
919,13.83
920,15.58
921,17.21
922,18.72
923,20.16
924,21.5
925,22.93
926,24.08
927,25.18
928,26.29
929,27.39
930,28.42
931,29.25
932,29.78
933,30.47
934,31.52
935,32.34
936,33.08
937,33.47
938,34.35
939,34.84
940,35.39
941,36.01
942,36.48
943,36.97
944,37.2
945,37.61
946,38.28
947,38.68
948,38.86
949,39.62
950,40.14
951,40.15
952,40.49
953,41.17
954,41.21
955,41.57
956,41.6
957,41.93
958,42.58
959,43.0
960,43.15
961,43.46
962,43.31
963,43.41
964,43.62
965,43.85
966,44.29
967,44.49
968,44.6
969,44.84
970,44.77
971,45.31
972,45.47
973,45.63
974,45.9
975,45.88
976,45.92
977,46.2
978,45.99
979,45.96
980,45.89
981,45.9
982,46.2
983,46.16
984,46.13
985,46.49
986,46.43
987,46.33
988,46.23
989,46.0
990,46.55
991,46.61
992,46.41
993,46.3
994,46.51
995,46.82
996,46.94
997,46.41
998,46.41
999,46.05
