,0
0,46.33
1,46.34
2,46.41
3,46.63
4,46.24
5,46.3
6,46.14
7,46.23
8,45.89
9,46.02
10,45.86
11,45.96
12,45.87
13,45.79
14,45.93
15,45.85
16,45.24
17,45.03
18,45.29
19,45.0
20,45.09
21,45.15
22,44.83
23,44.8
24,44.7
25,44.73
26,44.42
27,44.12
28,43.94
29,43.0
30,42.18
31,41.22
32,40.05
33,38.65
34,38.17
35,37.34
36,36.75
37,36.21
38,35.14
39,34.59
40,33.48
41,32.69
42,32.26
43,31.85
44,31.2
45,30.54
46,29.91
47,29.4
48,28.89
49,28.39
50,27.94
51,27.15
52,26.7
53,26.17
54,25.81
55,25.57
56,25.31
57,24.94
58,24.57
59,24.25
60,23.89
61,23.6
62,23.16
63,23.0
64,22.65
65,22.34
66,22.02
67,21.76
68,21.37
69,21.01
70,20.67
71,20.45
72,20.09
73,19.84
74,19.55
75,19.26
76,19.0
77,18.84
78,18.67
79,18.46
80,18.2
81,17.82
82,17.71
83,17.29
84,17.03
85,16.8
86,16.47
87,16.16
88,16.0
89,15.74
90,15.44
91,15.12
92,14.9
93,14.59
94,14.42
95,14.17
96,13.88
97,13.65
98,13.42
99,13.18
100,12.96
101,12.79
102,12.62
103,12.33
104,12.06
105,11.88
106,11.68
107,11.52
108,11.29
109,11.05
110,10.82
111,10.63
112,10.46
113,10.28
114,10.11
115,9.93
116,9.75
117,9.58
118,9.35
119,9.19
120,9.06
121,8.9
122,8.76
123,8.61
124,8.44
125,8.36
126,8.2
127,8.08
128,7.9
129,7.51
130,6.78
131,6.06
132,5.31
133,4.57
134,3.76
135,3.06
136,2.41
137,1.79
138,1.28
139,0.82
140,0.46
141,0.27
142,0.18
143,0.14
144,0.12
145,0.13
146,0.12
147,0.13
148,0.12
149,0.12
150,0.12
151,0.12
152,0.12
153,0.12
154,0.12
155,0.12
156,0.12
157,0.13
158,0.15
159,0.16
160,0.18
161,0.21
162,0.29
163,0.83
164,1.42
165,1.8
166,2.12
167,2.3
168,2.47
169,2.66
170,2.85
171,3.07
172,3.29
173,3.5
174,3.7
175,3.89
176,4.06
177,4.21
178,4.35
179,4.52
180,4.71
181,4.91
182,5.1
183,5.29
184,5.47
185,5.6
186,5.71
187,5.79
188,5.9
189,6.0
190,6.13
191,6.29
192,6.45
193,6.58
194,6.71
195,6.78
196,6.86
197,6.9
198,6.99
199,7.1
200,7.21
201,7.34
202,7.48
